url	first_seen	portal	title	company	status
https://job-boards.greenhouse.io/arizeai/jobs/6119757004	2026-07-30	greenhouse-api	Open Source AI Engineer (Typescript)	Arize AI	added
https://jobs.ashbyhq.com/sierra/83a88812-d488-4a24-bb39-e1b0aa6dd240	2026-07-30	ashby-api	Strategist, Agent Development (Spanish speaking)	Sierra AI	added
https://databricks.com/company/careers/open-positions/job?gh_jid=8632126002	2026-07-30	greenhouse-api	Full Stack Developer (AI Agents)	Databricks	added
https://jobs.ashbyhq.com/sierra/6c246883-6335-413e-9183-ece94780590c	2026-07-30	ashby-api	GTM Operations Analyst, Agent Development	Sierra AI	added
https://job-boards.greenhouse.io/intercom/jobs/8096347	2026-07-30	greenhouse-api	Senior Engineering Manager, Customer Agent	Intercom	added
https://databricks.com/company/careers/open-positions/job?gh_jid=8638847002	2026-07-30	greenhouse-api	AI Engineer — GTM Analytics	Databricks	added
https://job-boards.greenhouse.io/scaleai/jobs/4720050005	2026-07-31	greenhouse-api	Staff Applied AI Engineer	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4720573005	2026-08-01	greenhouse-api	Frontier Agents Engineer (Applied AI)	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4720478005	2026-08-01	greenhouse-api	Senior Frontier Agents Engineer (Applied AI)	Scale AI	added
https://job-boards.greenhouse.io/scaleai/jobs/4720487005	2026-08-01	greenhouse-api	Staff Frontier Agents Engineer (Applied AI)	Scale AI	added
https://jobs.ashbyhq.com/sierra/97ca0c70-f371-4167-9908-2adca3464b8d	2026-08-01	ashby-api	Software Engineer, Agent - Healthcare Integrations	Sierra AI	added
https://databricks.com/company/careers/open-positions/job?gh_jid=8569392002	2026-08-03	greenhouse-api	AI Engineer - FDE (Forward Deployed Engineer)	Databricks	added
https://databricks.com/company/careers/open-positions/job?gh_jid=8656900002	2026-08-03	greenhouse-api	Senior Applied ML Engineer - ML4Sys 	Databricks	added
https://job-boards.greenhouse.io/gleanwork/jobs/4711484005	2026-08-04	greenhouse-api	Machine Learning Engineer, Assistant Quality	Glean	added
https://jobs.ashbyhq.com/twelve-labs/02862ae5-e28b-4f27-940a-2ecd57c077e0	2026-08-04	ashby-api	Senior Machine Learning Engineer, Jockey Core	Twelve Labs	added
https://job-boards.greenhouse.io/anthropic/jobs/5358094008	2026-08-05	greenhouse-api	Data Scientist, Finance Forecasting	Anthropic	added
https://jobs.ashbyhq.com/langchain/b8dead31-212a-4b92-82a7-c42df16ae877	2026-08-05	ashby-api	AI Engineer, Enablement 	LangChain	added
